Year,Prod
1990,568940
1991,619600
1992,606000
1993,656620
1994,748330
1995,727200
1996,737492
1997,738354
1998,743750
1999,831258
2000,862828
2001,748885
2002,854845
2003,977945
2004,1004160
2005,1053240
2006,1090440
2007,1109220
2008,1148350
2009,1270640
2010,1294180
2011,1312960
