Year,Prod
1990,15711
1991,14906
1992,13938
1993,12025
1994,12100
1995,11600
1996,12531
1997,12914
1998,13432
1999,14132
2000,12056
2001,12665
2002,4631
2003,3205
2004,4261
2005,3925
2006,6605
2007,4616
2008,6684
2009,6597
2010,3844
2011,3595
